	oob_score	n_estimators	min_weight_fraction_leaf	min_samples_split	min_samples_leaf	min_impurity_decrease	max_samples	max_leaf_nodes	max_features	max_depth	criterion	ccp_alpha	bootstrap	accuracy	average_precision	f1	precision	recall	roc_auc
254	False	10	0.0	10	2	5.0	0.75	50.0	log2		entropy	0.001	False						
255	False	25	1.0	2	1	1.0	0.75	200.0	auto		gini	0.01	True						
256	True	10	0.0	10	2	10.0	0.5	500.0	auto	100.0	gini	0.0	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
257	True	25	10.0	5	5	0.5		200.0	auto	1000.0	entropy	1.0	False						
258	True	50	1.0	2	5	0.0	1.0	50.0	log2	10.0	entropy	0.0	True						
259	False	50	0.0	10	5	0.0	0.5		sqrt	100.0	gini	1.0	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
260	False	50	5.0	5	2	1.0	0.1	100.0	sqrt		entropy	1.0	False						
261	False	100	10.0	5	5	5.0	1.0	100.0	auto	100.0	entropy	0.1	True						
262	True	25	10.0	5	2	10.0	0.9	500.0	log2	10.0	entropy	1.0	False						
263	True	10	5.0	5	5	0.0		200.0	log2		gini	0.1	True						
264	False	50	10.0	10	2	5.0	0.75	200.0	sqrt		entropy	1.0	False						
265	False	75	10.0	5	5	5.0	1.0	10.0	auto	1000.0	entropy	0.1	True						
266	False	25	5.0	5	5	5.0		10.0	log2	100.0	entropy	0.1	True						
267	False	75	1.0	5	1	0.0	0.25		log2	10.0	gini	0.0001	False						
268	False	10	10.0	10	5	5.0	0.1	10.0	log2	100.0	gini	1.0	True						
