	shrinking	probability	kernel	gamma	degree	decision_function_shape	coef0	break_ties	C	accuracy	average_precision	f1	precision	recall	roc_auc
3720	True	True	poly	scale	4	ovo	10.0	False	10.0	0.7732688199070001	0.5689494742632177	0.5631789388555453	0.5285076715758902	0.6163280116110305	0.7692268347701401
3721	True	False	sigmoid	scale	1	ovo	10.0	True	5.0						
3722	True	True	poly	auto	2	ovo	0.01	True	0.001						
3723	False	True	sigmoid	scale	3	ovo	0.0	True	5.0						
3724	False	True	poly	scale	5	ovr	0.01	False	0.005	0.7586862720455783	0.5149190614124374	0.0	0.0	0.0	0.760978893804536
3725	False	False	poly	auto	5	ovo	0.0	False	0.05	0.7577688408529177	0.514890068817197	0.0	0.0	0.0	0.7605058842044521
3726	True	True	sigmoid	auto	5	ovo	0.001	False	0.005	0.7586862720455783	0.7273197992920506	0.0	0.0	0.0	0.845189903299701
3727	False	True	sigmoid	scale	5	ovo	0.1	False	5.0	0.7504252021281053	0.48505134909682796	0.4536544816488006	0.48269066117012843	0.4348330914368651	0.7390866805392834
3728	True	False	sigmoid	scale	4	ovr	0.1	False	0.1	0.7669096393112982	0.6904582348272411	0.06303995072783049	0.8	0.034034833091436865	0.8361511357476349
3729	False	True	linear	scale	5	ovo	0.0	True	0.001						
3730	True	True	linear	auto	4	ovr	1.0	False	1.0	0.8545808721880105	0.761221202875378	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8618217427037613
3731	False	True	linear	auto	1	ovr	0.01	False	0.001	0.7586862720455783	0.7427584573252135	0.0	0.0	0.0	0.8506732299298791
3732	False	False	linear	auto	2	ovr	10.0	False	0.5	0.8545808721880105	0.7519795993521029	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8632617552940353
3733	True	False	sigmoid	scale	2	ovo	5.0	True	0.001						
3734	True	False	rbf	auto	1	ovr	0.001	False	0.005	0.7586862720455783	0.7277653856512537	0.0	0.0	0.0	0.8469298092223758
